P_ID,PortfolioName,AssetValue
P_1,Accent,6143
P_2,W201,6712
P_3,RAV4,6015
P_4,V40,4142
P_5,Justy,7793
P_6,Escort,3567
P_7,1 Series,4860
P_8,SJ,4716
P_9,Camry,2515
P_10,Vitara,5417
P_11,Amanti,3034
P_12,Montero,7249
P_13,Durango,5080
P_14,Suburban 2500,737
P_15,Scoupe,2341
P_16,Avenger,5772
P_17,Prelude,6958
P_18,Impala,1078
P_19,M5,6582
P_20,Impreza,4954
P_21,Yukon,9780
P_22,Amanti,3802
P_23,Ram 1500 Club,9922
P_24,Town & Country,930
P_25,Bonneville,1590
P_26,CC,3253
P_27,Caliber,7059
P_28,H1,3717
P_29,E-Class,5992
P_30,R-Class,3975
